model,trust_category,n_samples,f1_macro,accuracy,precision,recall,error_rate
SVM,hoog (6.5-10),129,0.5143803644029513,0.8062015503875969,0.5198412698412698,0.546487603305785,0.1937984496124031
SVM,laag (1-3.5),474,0.48944238712434124,0.48945147679324896,0.5851646020702528,0.5858639863130881,0.510548523206751
SVM,middel (3.5-6.5),686,0.5718373335278717,0.6632653061224489,0.58604580523662,0.5701132583557738,0.33673469387755106
LR,hoog (6.5-10),129,0.48372093023255813,0.7131782945736435,0.5162613981762918,0.5552685950413223,0.28682170542635654
LR,laag (1-3.5),474,0.6023546474427335,0.6265822784810127,0.6100970072979612,0.6313088109495295,0.37341772151898733
LR,middel (3.5-6.5),686,0.5973085534634972,0.6311953352769679,0.5968523002421308,0.6081102486931729,0.3688046647230321
