model,length_category,n_samples,f1_macro,accuracy,precision,recall,error_rate
SVM,kort,77,0.5298132183908046,0.5584415584415584,0.5380769230769231,0.5340909090909092,0.4415584415584416
SVM,lang,217,0.6121834150326797,0.6774193548387096,0.6705859169732002,0.6162280701754386,0.32258064516129037
SVM,middellang,981,0.5606806986117331,0.6004077471967381,0.5978716498701756,0.5748063775574561,0.39959225280326194
SVM,zeer_lang,14,0.46153846153846156,0.8571428571428571,0.46153846153846156,0.46153846153846156,0.1428571428571429
LR,kort,77,0.6071428571428572,0.6103896103896104,0.6077702702702703,0.6098484848484849,0.38961038961038963
LR,lang,217,0.6667570009033423,0.6866359447004609,0.6686131386861314,0.6654135338345865,0.31336405529953915
LR,middellang,981,0.6222746801378594,0.6258919469928644,0.6221061760048261,0.6225497615984258,0.37410805300713557
LR,zeer_lang,14,0.46153846153846156,0.8571428571428571,0.46153846153846156,0.46153846153846156,0.1428571428571429
