epoch,train_loss,accuracy,f1_macro,f1_binary,precision,precision_binary,recall,recall_binary,auc_roc
1,0.6660234079272386,0.6378254211332313,0.6318050337744607,0.6788866259334692,0.6382584654531219,0.6361323155216285,0.6328832483251147,0.727802037845706,0.6923737163523831
2,0.6073139415067785,0.6332312404287902,0.6057168392252417,0.7098728043609933,0.6562810900002427,0.6078838174273858,0.6211608148560974,0.8529839883551674,0.7069673817703814
3,0.492219700532801,0.6355283307810107,0.6311680051641321,0.6712707182320442,0.6349130188429035,0.6386333771353482,0.6315793186644185,0.7074235807860262,0.6950168487935418
4,0.37312766789651874,0.6248085758039816,0.6121434718838261,0.682230869001297,0.6291100997134373,0.6152046783625731,0.6170726602751774,0.7656477438136827,0.6945042127862708
